CountryRegion,TotalConfirmed,TotalDeaths,TotalRecovered
US,224345948,11011411,56353416
Brazil,89524967,3938034,54492873
Russia,45408411,619385,25120448
India,40883464,1111831,23783720
Spain,27404045,3033030,15093583
"United Kingdom",26748587,3997775,126217
Italy,26745145,3707717,15673910
France,21210926,3048524,7182115
Germany,21059152,871322,17107839
Iran,19339267,1024136,15200895
Peru,19263916,652113,10862846
Turkey,17903345,466056,13345389
Chile,16935654,322480,13292593
Mexico,14946202,1728277,11141225
China,14132002,672413,11466866
Pakistan,12833994,264729,6936003
"Saudi Arabia",12362961,105150,8474107
"South Africa",11168743,181979,5836423
Canada,9356551,699566,0
Bangladesh,8754729,115633,3714702
Colombia,6893122,236525,2823811
Qatar,6377607,7123,4676443
Belgium,6281116,963679,1627492
Netherlands,5167516,622314,16967
Sweden,4973160,448913,0
Ecuador,4678496,346618,1772210
Argentina,4450658,97749,1680024
Belarus,4426759,28391,2771925
Egypt,4142819,186936,1197283
Indonesia,4057909,220272,1677484
Portugal,3855363,146603,1809966
Switzerland,3696604,207858,2957883
"United Arab Emirates",3658838,25387,2402874
Singapore,3502472,2441,2372884
Ukraine,3214085,85248,1387463
Kuwait,3120160,23084,2205347
Iraq,3093628,121392,1790961
Philippines,2972611,110892,785042
Poland,2755525,118018,1465856
Israel,2677930,31627,1521162
Ireland,2571918,161948,1997530
Oman,2559773,11804,1439269
"Dominican Republic",2495433,61786,1211513
Kazakhstan,2430707,14621,1342402
Panama,2378126,51756,1213644
Romania,2363132,140031,1409409
Bolivia,2170351,78032,571653
Austria,2034986,71390,1638380
Japan,1952495,85559,1307911
Afghanistan,1936390,49098,798240
Bahrain,1755206,5115,1334787
"South Korea",1647537,33518,1246797
Nigeria,1634040,39416,600928
Armenia,1587173,27089,857482
Serbia,1376322,28876,735730
Denmark,1305978,60602,1057021
Guatemala,1273708,49133,416757
Ghana,1246644,6908,814529
Honduras,1228583,37941,135380
Algeria,1179755,77972,755897
Moldova,1156957,38196,652369
Czechia,1146758,33364,651140
Azerbaijan,1134717,14282,703402
Norway,1008821,25664,544430
Morocco,1002746,23170,703960
Australia,960247,11387,711928
Malaysia,876874,12971,703056
Cameroon,844817,22354,588941
Finland,713167,30338,544492
Nepal,682623,1660,308056
Uzbekistan,678008,2938,423777
"Cote d'Ivoire",611062,4717,309368
Kyrgyzstan,596200,14979,301587
Sudan,586392,35415,240835
Luxembourg,501355,11624,379664
Senegal,467457,7177,286778
Kenya,464603,10463,161998
"El Salvador",453036,11429,240972
"North Macedonia",440483,21235,214483
"Congo (Kinshasa)",427604,10888,135073
Venezuela,412231,4101,151542
Bulgaria,410722,17654,182621
Guinea,403605,2356,276575
"Bosnia and Herzegovina",396634,16373,207156
Hungary,396247,51053,204205
Tajikistan,383026,3915,264000
Thailand,366527,6289,312360
Greece,362615,19215,132346
Ethiopia,357928,5887,121793
"Costa Rica",347151,2037,116642
Djibouti,336216,3011,255143
Haiti,333181,6663,87298
Gabon,330678,2497,146671
Croatia,299218,10372,213360
"West Bank and Gaza",233461,1370,61124
Kosovo,225972,5229,122234
Iceland,221241,1141,190132
Mauritania,219095,6720,94938
Estonia,216505,6826,137224
Cuba,216346,8145,170780
Madagascar,207296,1699,99424
Somalia,206646,7006,59491
"Central African Republic",198659,2010,43318
Albania,196702,5708,118877
Lithuania,188762,7019,120592
Slovenia,186132,11326,109805
Slovakia,176429,2692,121950
"New Zealand",175979,2181,149560
Maldives,173602,705,106302
"Sri Lanka",166865,1105,109389
Lebanon,166607,3520,82508
Paraguay,156373,1663,75800
"Equatorial Guinea",153258,2246,35352
Mali,151494,8229,95287
Nicaragua,137545,4867,86849
Zambia,129421,2643,83611
Tunisia,126590,5250,85410
Guinea-Bissau,122994,1291,26036
"South Sudan",118818,2006,23121
Latvia,118383,2458,74648
Cyprus,107176,1962,65254
Niger,102223,5948,79067
"Congo (Brazzaville)",101609,2696,29132
"Burkina Faso",96153,5583,74876
"Sierra Leone",95846,4186,58390
Uruguay,94742,2456,72759
Andorra,94404,5423,69074
Jordan,93144,1041,68045
Malawi,89666,1640,26822
Georgia,85213,1266,60230
"Cabo Verde",82732,854,38253
"San Marino",74949,5086,41810
Montenegro,72422,1379,31486
Rwanda,71242,169,36974
Malta,67483,765,53260
Yemen,67180,17707,23779
Benin,64406,1095,25911
Chad,64226,5523,48059
Eswatini,63160,763,30185
Libya,62321,1612,14199
Jamaica,61392,1005,36003
Mozambique,58006,361,0
Uganda,56688,6,39767
Taiwan*,55593,840,42184
Liberia,51775,3341,23418
Zimbabwe,50794,881,12207
Tanzania,49327,1985,16729
Togo,47390,1295,28330
"Sao Tome and Principe",46884,950,15882
Vietnam,40675,0,32838
Mauritius,39448,1161,32602
Suriname,32247,721,17436
Namibia,28836,72,2152
Burma,25188,639,15476
Angola,22662,1078,6573
Syria,20946,973,0
Guyana,19089,1346,8521
Brunei,18168,226,15262
Cambodia,17079,0,13917
Mongolia,16999,0,9902
Comoros,15823,337,11473
Botswana,15306,120,2291
"Trinidad and Tobago",14967,949,10531
Bahamas,12100,1203,6047
Monaco,11993,425,8707
Eritrea,11786,0,5724
Burundi,11351,106,7361
Barbados,10652,738,7444
Liechtenstein,10351,116,9477
Lesotho,6794,98,1318
Bhutan,4971,0,2838
Gambia,4845,209,2278
"Antigua and Barbuda",4487,326,2600
Seychelles,3977,0,1247
"Saint Vincent and the Grenadines",2771,0,1995
Belize,2636,222,1618
