CountryRegion,TotalConfirmed,TotalDeaths,TotalRecovered
Afghanistan,1936390,49098,798240
Albania,196702,5708,118877
Algeria,1179755,77972,755897
Andorra,94404,5423,69074
Angola,22662,1078,6573
"Antigua and Barbuda",4487,326,2600
Argentina,4450658,97749,1680024
Armenia,1587173,27089,857482
Australia,960247,11387,711928
Austria,2034986,71390,1638380
Azerbaijan,1134717,14282,703402
Bahamas,12100,1203,6047
Bahrain,1755206,5115,1334787
Bangladesh,8754729,115633,3714702
Barbados,10652,738,7444
Belarus,4426759,28391,2771925
Belgium,6281116,963679,1627492
Benin,64406,1095,25911
Bhutan,4971,0,2838
Bolivia,2170351,78032,571653
"Bosnia and Herzegovina",396634,16373,207156
Brazil,89524967,3938034,54492873
Brunei,18168,226,15262
Bulgaria,410722,17654,182621
"Burkina Faso",96153,5583,74876
"Cabo Verde",82732,854,38253
Cambodia,17079,0,13917
Cameroon,844817,22354,588941
Canada,9356551,699566,0
"Central African Republic",198659,2010,43318
Chad,64226,5523,48059
Chile,16935654,322480,13292593
China,14132002,672413,11466866
Colombia,6893122,236525,2823811
"Congo (Brazzaville)",101609,2696,29132
"Congo (Kinshasa)",427604,10888,135073
"Costa Rica",347151,2037,116642
"Cote d'Ivoire",611062,4717,309368
Croatia,299218,10372,213360
Cuba,216346,8145,170780
Cyprus,107176,1962,65254
Czechia,1146758,33364,651140
Denmark,1305978,60602,1057021
Greenland,1507,0,1372
Djibouti,336216,3011,255143
"Dominican Republic",2495433,61786,1211513
Ecuador,4678496,346618,1772210
Egypt,4142819,186936,1197283
"El Salvador",453036,11429,240972
"Equatorial Guinea",153258,2246,35352
Eritrea,11786,0,5724
Estonia,216505,6826,137224
Eswatini,63160,763,30185
Ethiopia,357928,5887,121793
Fiji,2266,0,1568
Finland,713167,30338,544492
France,21210926,3048524,7182115
Gabon,330678,2497,146671
Gambia,4845,209,2278
Georgia,85213,1266,60230
Germany,21059152,871322,17107839
Ghana,1246644,6908,814529
Greece,362615,19215,132346
Guatemala,1273708,49133,416757
Guinea,403605,2356,276575
Guyana,19089,1346,8521
Haiti,333181,6663,87298
"Holy See",1356,0,742
Honduras,1228583,37941,135380
Hungary,396247,51053,204205
Iceland,221241,1141,190132
India,40883464,1111831,23783720
Indonesia,4057909,220272,1677484
Iran,19339267,1024136,15200895
Iraq,3093628,121392,1790961
Ireland,2571918,161948,1997530
Israel,2677930,31627,1521162
Italy,26745145,3707717,15673910
Jamaica,61392,1005,36003
Japan,1952495,85559,1307911
Jordan,93144,1041,68045
Kazakhstan,2430707,14621,1342402
Kenya,464603,10463,161998
